,date,text,followers,polarity,sentiment_confidence,clusters
0,date,text,0.0,0.0,0.0,0
1,2020-08-23 01:37:24,"b'Bluebird Bio $BLUE To Be Acquired In Cash And Stock Transaction By Unnamed Big Pharma, CEO Announcement Coming\xe2\x80\xa6 https://t.co/8v8FFl1EE6'",0.0,0.0,0.1,0
2,2020-08-22 15:10:07,b'$PRGO in Downtrend: Stochastic indicator recovers from overbought zone. View odds for this and other indicators:\xe2\x80\xa6 https://t.co/HdwGuBHAnZ',5907,-0.125,0.375,4
3,2020-08-22 14:49:10,b'#trade Perrigo Company plc (NYSE:PRGO) Pays A US$0.23 Dividend In Just Four Days\n\nPerrigo Company plc (NYSE:PRGO) i\xe2\x80\xa6 https://t.co/3gjvhqRfj1',2695,0.0,0.0,0
4,2020-08-21 21:04:23,b'$PRGO Stock Quote Alert for Perrigo Company plc (NYSE:PRGO)\nFrom our Stock News Alerts App',3302,0.0,0.0,0
5,2020-08-21 16:30:07,"b""$PRGO's price moved below its 50-day Moving Average on August 18, 2020. View odds for this and other indicators:\xe2\x80\xa6 https://t.co/XExL2s27mG""",5907,-0.1375,0.38749999999999996,4
6,2020-08-21 06:08:30,b'$PRGO closes lower for the 3rd day in a row: https://t.co/Sqbw35Lnji\nSentiment: Slightly bearish #PRGO #Perrigo',789,-0.08333333333333333,0.08333333333333333,0
7,2020-08-20 21:33:36,"b'RAINFOREST RESOURCES $RRIF  To Be Scooped Up In Cash And Stock Transaction By Unnamed Nasdaq Traded Company, CEO An\xe2\x80\xa6 https://t.co/GbvgsAR98j'",3863,0.0,0.0,0
8,2020-08-20 21:02:38,b'$PRGO Stock Quote Alert for Perrigo Company plc (NYSE:PRGO)\nFrom our Stock News Alerts App',3302,0.0,0.0,0
9,2020-08-20 18:46:15,b'$PRGO in Uptrend: Stochastic indicator remains in overbought zone for 1 day. View odds for this and other indicator\xe2\x80\xa6 https://t.co/e2Tal8fG4h',5907,-0.125,0.375,4
10,2020-08-19 21:02:30,b'$PRGO Stock Quote Alert for Perrigo Company plc (NYSE:PRGO)\nFrom our Stock News Alerts App',3302,0.0,0.0,0
11,2020-08-19 16:02:44,b'$PRGO in Uptrend: Stochastic indicator penetrating overbought zone. View odds for this and other indicators:\xe2\x80\xa6 https://t.co/p70taJeBRV',5907,-0.125,0.375,4
12,2020-08-19 14:38:15,b'$CNNA UNKNOWN UNDERVALUED #MARIJUANA STOCK\xf0\x9f\x92\xb8\n\n$CLLS $SRNE $KOOL $ZIOP $MDT $ABT $EW $BIO $TNDM $PODD $OSUR $MYL\xe2\x80\xa6 https://t.co/oQ2cbz9tN7',18026,-0.1,0.6,2
13,2020-08-19 14:35:27,b'$CNNA UNDERVALUED #MARIJUANA STOCK. 001?!\xf0\x9f\x92\xb8\n\n$IONS $GBT $XON $CRSP $EDIT $NTLA $PBYI $BMRN $TSRO $CELG $BLUE $ALKS\xe2\x80\xa6 https://t.co/I2xiVIOV9p',18026,0.0,0.1,0
14,2020-08-18 21:02:45,b'$PRGO Stock Quote Alert for Perrigo Company plc (NYSE:PRGO)\nFrom our Stock News Alerts App',3302,0.0,0.0,0
15,2020-08-18 18:13:02,b'RT @aaaamhim: $CNNA UNDERVALUED #MARIJUANA STOCK. 001?!\xf0\x9f\x92\xb8\n\n$IONS $GBT $XON $CRSP $EDIT $NTLA $PBYI $BMRN $TSRO $CELG $BLUE $ALKS $ALNY $GILD\xe2\x80\xa6',974,0.0,0.1,0
16,2020-08-18 17:50:05,b'RT @Tickeron: $PRGO in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/IMPNMAjyiE #Perrig\xe2\x80\xa6',119,-0.125,0.375,4
17,2020-08-18 16:55:20,b'$PRGO in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators:\xe2\x80\xa6 https://t.co/3VLtBt9paU',5907,-0.125,0.375,4
18,2020-08-18 16:50:42,b'$CNNA UNDERVALUED #MARIJUANA STOCK. 001?!\xf0\x9f\x92\xb8\n\n$IONS $GBT $XON $CRSP $EDIT $NTLA $PBYI $BMRN $TSRO $CELG $BLUE $ALKS\xe2\x80\xa6 https://t.co/BPCUvVIXZI',18026,0.0,0.1,0
19,2020-08-18 12:19:31,b'RT @spottingstocks2: A Beginner\xe2\x80\x99s Guide to Stock Investing. \n\nOn Amazon. \n\nLink: https://t.co/Nm3L7G4Zzw \n\n$NI $NBL $JWN $NSC $NTRS $NOC $N\xe2\x80\xa6',523,0.0,0.0,0
