TXG
ABEO
ACIU
ACAD
ACST
AXDX
XLRN
ACRX
ACER
ACHV
ACRS
ACOR
ADMS
ADMP
ADAP
ADPT
ADIL
ADMA
ADRO
ADXS
ADVM
AGLE
AERI
ARPO
AIH
AEZS
AEMD
AFMD
AGEN
AGRX
AGIO
ALRN
AIMT
AKTX
AKCA
AKBA
AKRO
AKER
ALBO
ALDX
ALEC
ALXN
ALIM
ALKS
ALLK
ALNA
ALLO
ALNY
ALPN
ALT
AMAG
AMRN
AMGN
FOLD
AMPH
ANAB
AVXL
ANCN
ANIP
APLS
AGTC
APLT
APRE
APVO
APTX
APTO
AQST
ARAV
ABUS
ABIO
ARCT
ARDX
ARNA
ARGX
ARDS
ARRY
ARWR
ARVN
ASND
ASLN
ASMB
ASRT
ASTC
ATRA
ATNX
ATHX
ATOS
BCEL
LIFE
AUPH
EARS
AUTL
AVDL
AVTR
AVDR
ATXI
AVEO
CDMO
AVRO
AXLA
AXGN
AXSM
AYTU
AZRX
BEAM
BGNE
BLPH
BLCM
BNTC
BYSI
BCYC
BASI
BCRX
BDSI
BFRA
BIIB
BLFS
BLRX
BMRN
BNGO
BVXV
BNTX
BPTH
BSGM
BSTC
TECH
BTAI
BLUE
BPMC
BCLI
BWAY
BBIO
BRKR
CABA
CALA
CAPR
CARA
CASI
CSTL
CATB
CBIO
CPRX
CLDX
APOP
CLRB
CLLS
CBMG
CLSN
CYAD
CNTG
CERC
CSBR
CKPT
CEMI
CCXI
CHFS
CHMA
CMRX
CBPO
CDTX
CTXR
CLSD
CBLI
CLVS
CNSP
COCP
CWBR
COHR
CHRS
COLL
CGEN
CNCE
CNMD
CNST
CFRX
CRBP
CORT
CRTX
CRVS
CRNX
CRSP
CTIC
CUE
CPIX
CRIS
CUTR
CYCC
CBAY
CYTK
CTMX
CYTR
DARE
DBVT
DCPH
DMPI
DNLI
DMAC
DRNA
DFFN
DRAD
DRRX
DVAX
EGRX
EDAP
EDIT
EIDX
EIGR
ECOR
ELOX
ENTA
ENDP
NDRA
ENOB
ETTX
ENTX
NVST
EPZM
EQ
ERYP
ESPR
EPIX
ETON
ETNB
EVLO
EVFM
EVOK
EOLS
EXAS
XGN
EXEL
EYEG
EYEN
EYPT
FATE
FENC
FGEN
FPRX
FLXN
FLDM
FONR
FBIO
FWP
FREQ
FULC
GTHX
GLPG
GALT
GRTX
GLMD
GMDA
GENE
GNFT
GMAB
GNCA
GNPX
GERN
GILD
GBT
GLYC
GOSS
GRFS
GRTS
GHSI
GWPH
HALO
HAPP
HARP
HBIO
HTBX
HSDT
HRTX
HSKA
FIXX
HOOK
HZNP
HOTH
HTGM
HCM
ICLR
IDYA
IDRA
IDXX
IGMS
ILMN
IMAB
IMAC
IMGN
IMMU
IMRN
IMMP
IMV
INCY
INFI
IFRX
IPHA
INVA
INSM
NTEC
NTLA
ICPT
ITCI
IONS
IOVA
IRIX
IRWD
ITRM
JAGX
JAZZ
JNCE
KALA
KLDO
KALV
KMDA
KRTX
KPTI
KMPH
KZR
KIN
KNSA
KTOV
KOD
KRYS
KURA
LJPC
LNTH
LPTX
LXRX
LFVN
LGND
LPCN
LQDA
LIVN
LVGO
LOGC
LUNA
MGNX
MDGL
MGTA
MNKD
MRNS
MRKR
MASI
MNOV
MEDP
MEIP
MGTX
MNLO
VIVO
MACK
MRSN
MRUS
MESO
MBOT
MTP
MIST
MLND
NERV
MRTX
MIRM
MRNA
MTEM
MBRX
MNTA
MNPR
MORF
MBIO
MYL
MYOK
MYOS
MYGN
NBRV
NSTG
NK
NRC
NATR
NKTR
NEOG
NEOS
NEPT
NBIX
NTRP
NXTC
NGM
NOVN
NVAX
NVUS
NCNA
NYMX
OBSV
OCUL
ODT
OMER
ONCY
ONTX
ONCS
OPK
OPTN
ORMP
ORTX
ORGO
ONVO
ORGS
OSMT
OTIC
OTLK
OVID
OXFD
OYST
PACB
PCRX
PRTK
PASG
PDLI
PSNL
PHAS
PHAT
PAHC
PHIO
PIRS
PSTI
PLXP
PTE
PPD
PRAH
PRPO
DTIL
PRVL
PRNB
PGNY
PRPH
PRQR
PTGX
PTI
PRTA
PRVB
PTCT
PULM
PBYI
QGEN
QTRX
QDEL
QTNT
RDUS
RAPT
RETA
REPH
RDHL
REGN
RGNX
RGLS
RELV
RGEN
REPL
RSLS
TORC
RTRX
RVNC
RVMD
RYTM
RIGL
RIOT
RCKT
RMTI
RUBY
SAGE
SGMO
SRPT
STSA
SVRA
SRRK
SDGR
SCPH
SCYX
SGEN
EYES
SELB
SLS
MCRB
SESN
SWAV
SRRA
SIGA
SILK
SVA
SDC
SLNO
SLGL
SLDB
SNGX
SNOA
SPHS
SRNE
SPPI
SPRO
SBPH
SWTX
MITO
STOK
SBBP
SMMT
SNDL
SNSS
SUPN
SURF
STRO
SNDX
SYNH
SYBX
SYRS
TLC
TCRR
TLGT
TENX
TELA
TTPH
TFFP
TGTX
TXMD
TRPX
TBPH
TTNP
TNXP
TCON
TBIO
TMDX
TRVN
TCDA
TRIL
TRIB
TPTX
TWST
TYME
RARE
QURE
UTHR
UBX
UMRX
URGN
UROV
VCNX
VNDA
VBLT
VXRT
VBIV
VSTM
VCEL
VRNA
VRCA
VRTX
VERU
VIE
VRAY
VKTX
VIR
VTGN
VIST
VIVE
VVUS
VYGR
VTVT
WVE
XBIT
XNCR
XBIO
XENE
XERS
XOMA
XTLB
YMAB
ZLAB
ZEAL
ZIOP
ZGNX
ZSAN
