AAL
AAPL
ABBV
ACWI
ADBE
ADM
ADP
ADSK
AEP
AES
AGG
AIG
AKAM
ALGN
ALK
ALL
ALLE
AMD
AMLP
AMT
AMZN
ANSS
ANTM
ASML
ATO
AVY
AWK
AXP
AZN
AZO
BA
BAC
BAYRY
BIDU
BILI
BKLN
BKNG
BLL
BMY
BND
BXP
C
CAH
CARR
CASL
CAT
CCL
CERN
CGC
CLDR
CLX
CMG
CODX
COG
COO
COTY
CPB
CRM
CRWD
CSCO
CVX
DAL
DBX
DD
DDOG
DHI
DHR
DIS
DLTR
DOCU
DOV
DPZ
DRE
DRIP
DXCM
EA
EBAY
EEM
EFA
EMB
ES
ESS
ETSY
EWG
EWJ
EWT
EWY
EWZ
EXC
EXPE
EZU
F
FAST
FB
FIS
FL
FNV
FRC
FSLY
FTNT
FXI
GDX
GILD
GIS
GL
GLD
GOLD
GOOG
GOVT
GRMN
GRUB
GS
HAS
HIG
HON
HPE
HPQ
HRB
HYG
IAU
IBM
IDXX
IEMG
IEX
IFF
IJR
ILMN
INCY
INDA
INO
INSG
INTC
INTU
IRM
IVZ
IYR
JNJ
JNK
JPM
K
KMX
KO
KRE
LB
LIN
LLY
LMT
LOW
LQD
LRCX
LUV
LVGO
LVS
LYFT
LYV
MA
MAR
MAS
MCD
MCK
MCO
MDLZ
MDT
MGM
MKC
MMM
MO
MRK
MRO
MSFT
MTB
NCNO
NEE
NEM
NET
NI
NKE
NLOK
NOW
NSC
NTNX
NUGT
NVDA
O
OKE
ORCL
OXY
PAAS
PEP
PFE
PFF
PFG
PINS
PKG
PNC
PRGO
PSX
PVH
PYPL
QQQ
QRVO
RCL
REG
REGN
RMD
ROK
ROKU
ROST
RSX
SABR
SBUX
SCHF
SCHW
SCO
SH
SHOP
SHW
SHY
SJM
SJNK
SMG
SMH
SNAP
SOXS
SPCE
SPLG
SPOT
SPXL
SPY
SQQQ
SRTY
STT
STZ
SVXY
SWKS
T
TCEHY
TFX
TJX
TLT
TMUS
TNA
TPR
TRV
TSCO
TSLA
TSM
TSN
TTWO
TWLO
TWTR
TXN
TZA
UAA
UAL
UBER
UCO
UDOW
UGAZ
ULTA
UNG
UNP
UPS
URI
USMV
USO
UVXY
V
VAR
VEA
VGK
VIXY
VNQ
VRSN
VRTX
VSTO
VTI
VTR
VWO
VXRT
VXUS
VXX
WELL
WFC
WIX
WKHS
WMT
WORK
XBI
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
XOM
XOP
XRT
YUM
ZM
ZS
ZTS
RKT
ITUB
BBD
NLY
SHLL
IBN
SAN
MS
SPG
BBVA
USB
PK
TWND.U
TFC
ALLY
HST
ING
SPAQ
MFA
KEY
DFS
BRK.B
MET
DB
COF
BCS
AMTD
UBS
AVGO
QCOM
RTX
NOC
GE
MU
DELL
ROP
GD
ADI
LHX
NXPI
ERIC
TEL
APH
KLAC
NOK
TDG
MSI
FTV
MRVL
GLW
PANW
ANET
ZBRA
STX
LOGI
WDC
MPWR
FSLR
XRX
SMTC
LPL
PLUG
AAXN
SONO
KN
NVS
ABT
TMO
AMGN
SNY
NVO
GSK
ISRG
SYK
BDX
TAK
EW
BIIB
MRNA
MTD
QGEN
NVAX
SAP
ACN
NTES
FISV
SQ
VMW
MELI
INFY
GPN
WDAY
SE
TEAM
VEEV
BEKE
CTSH
CSGP
SNPS
SPLK
CDNS
PAYX
OKTA
Z
CTXS
CDW
PAYC
GDDY
DKNG
HUBS
ZNGA
QTWO
WB
NFLX
CMCSA
CHTR
CTAS
TAL
HLT
PTON
DISH
VIAC
FOX
DRI
CABO
IHG
PENN
NYT
DLB
DNKN
H
CHH
WH
PLNT
WEN
TXRH
NXST
WING
MSGS
CBRL
TRIP
SHAK
IGT
STRA
MED
WW
SBGI
SEAS
BLMN
CAKE
AMC
IMAX
PLAY
PLD
CCI
EQIX
DLR
PSA
SBAC
AVB
ARE
MPW
FRT
AIV
BPY
VICI
RDFN
NMRK
CBRE
HGV
CWK
HHC
KW
PEGA
KHC
CAG
BYND
THS
SMPL
HCC
ARCH
SXC
APD
ECL
DOW
LYB
AVTR
VFC
COLM
DECK
HBI
LEVI
SKX
GOOS
VRA
FDX
ZTO
EXPD
CHRW
CYRX
HUBG
AAWW
BCC
JELD
TREX
LPX
PM
BTI
UVV
ODFL
JBHT
XPO
KNX
VALE
NUE
MT
PKX
CHL
VOD
AMX
RCI
CNI
CSX
KSU
W
BABA
JD
PDD
CHWY
RVLV
OSTK
FLWS
REAL
SYX
APRN
YNDX
IQ
ZI
SNE
WHR
IRBT
D
DUK
SO
LKQ
DORM
GT
TM
HMC
GM
NIO
NKLA
GP
PUK
SLF
IDEX
SOLO
GNUS
BLNK
KNDI
AYRO
XPEV
LI
PLL
LAC
SQM
LTHM
ENS
JCI
ALB
FMC
GALXF
OROCF
WWR
KOD
SBE
CIIC
HYLN
APXT
RIDE
FSR
LVGW
RMG
THCB
VGAC
BFT
PSTH
LAZR
MAXN
SOS
CAN
RIOT
MARA
GSAT
MVIS
OCGN
SNDL
CTRM
CLOV
RSVA
WBT
CCIV
NNDM
BMBL
HTBX
KALV
IPOD
NOK
GME
TRIT
MESO
ZUO
OVV
COIN
