orderType,timestamp
buy,2020-09-28 12:28:54.766270
sell,2020-09-28 18:11:33.109766
buy,2020-09-28 20:01:34.665713
sell,2020-09-28 20:36:35.036778
buy,2020-09-29 07:34:31.158825
sell,2020-09-29 16:09:38.301132
