,pivot,s1,s2,s3,s4,r1,r2,r3,r4
0,,,,,,,,,
1,11595.011193996666,11545.991932268906,11515.707781044426,11466.688519316665,11417.669257588905,11644.030455724427,11674.314606948907,11723.333868676667,11772.353130404428
2,11606.775119113334,11590.562451475094,11580.546248431574,11564.333580793334,11548.120913155095,11622.987786751573,11633.003989795094,11649.216657433333,11665.429325071573
3,11615.918798056666,11602.547947533665,11594.287422079666,11580.916571556665,11567.545721033664,11629.289648579666,11637.550174033666,11650.921024556666,11664.291875079667
4,11626.619816236665,11622.395394574765,11619.785542448566,11615.561120786666,11611.336699124766,11630.844237898566,11633.454090024765,11637.678511686665,11641.902933348565
5,11620.689874366666,11616.107323464566,11613.276218718765,11608.693667816666,11604.111116914566,11625.272425268766,11628.103530014567,11632.686080916666,11637.268631818766
6,11626.474566863333,11621.787156166673,11618.891268929994,11614.203858233333,11609.516447536673,11631.161977559994,11634.057864796672,11638.745275493333,11643.432686189994
7,11662.2996203,11638.5769851638,11623.921116336202,11600.198481200001,11576.4758460638,11686.0222554362,11700.678124263799,11724.4007594,11748.1233945362
8,11689.41525733,11680.67779701186,11675.27978487814,11666.54232456,11657.80486424186,11698.15271764814,11703.55072978186,11712.2881901,11721.02565041814
9,11702.530693183333,11687.956343592492,11678.952295154173,11664.377945563332,11649.803595972491,11717.105042774174,11726.109091212493,11740.683440803334,11755.257790394175
10,11698.84157201,11694.02353584416,11691.04694805584,11686.22891189,11681.410875724161,11703.65960817584,11706.63619596416,11711.45423213,11716.27226829584
11,11698.97274856,11688.85079792164,11682.59744621836,11672.47549558,11662.35354494164,11709.09469919836,11715.348050901639,11725.47000154,11735.59195217836
12,11764.94242557,11725.442442309719,11701.03931129028,11661.53932803,11622.039344769719,11804.44240883028,11828.845539849719,11868.34552311,11907.84550637028
13,11825.718445973334,11798.519209251994,11781.715492324674,11754.516255603334,11727.317018881993,11852.917682694675,11869.721399621994,11896.920636343335,11924.119873064676
14,11855.142906923333,11836.371446695654,11824.774418911013,11806.002958683333,11787.231498455654,11873.914367151012,11885.511394935653,11904.282855163332,11923.054315391011
15,11886.815432606667,11865.041432606668,11851.589432606666,11829.815432606667,11808.041432606668,11908.589432606666,11922.041432606668,11943.815432606667,11965.589432606666
16,11912.382568473331,11889.11564433981,11874.741314246852,11851.474390113332,11828.20746597981,11935.649492606852,11950.02382269981,11973.29074683333,11996.557670966851
17,11907.486250380001,11884.386072069461,11870.114757720543,11847.014579410003,11823.914401099462,11930.586428690542,11944.85774303946,11967.95792135,11991.05809966054
18,11918.006453560001,11910.36693808116,11905.647237418842,11898.007721940001,11890.36820646116,11925.645969038842,11930.365669701161,11938.005185180002,11945.644700658842
19,11896.560536713334,11880.807882104475,11871.075875592194,11855.323220983335,11839.570566374476,11912.313191322193,11922.045197834474,11937.797852443333,11953.550507052192
20,11936.323099266667,11916.362509477967,11904.030836205366,11884.070246416666,11864.109656627967,11956.283689055366,11968.615362327968,11988.575952116667,12008.536541905367
21,11938.851058356668,11930.570641033188,11925.454990540147,11917.174573216667,11908.894155893187,11947.131475680148,11952.247126173188,11960.527543496668,11968.807960820148
22,11931.791594379998,11920.148023080517,11912.954612539479,11901.311041239998,11889.667469940518,11943.435165679479,11950.628576220517,11962.272147519998,11973.915718819479
23,11903.962135563334,11894.693582314534,11888.967460412134,11879.698907163334,11870.430353914535,11913.230688812133,11918.956810714533,11928.225363963333,11937.493917212132
24,11879.609383910001,11860.08750424072,11848.026866539281,11828.50498687,11808.98310720072,11899.131263579282,11911.191901280721,11930.713780950002,11950.235660619282
25,11876.86350372,11863.80420288138,11855.73615314862,11842.67685231,11829.61755147138,11889.92280455862,11897.99085429138,11911.05015513,11924.10945596862
26,11902.625626466666,11892.892248145947,11886.878956827386,11877.145578506666,11867.412200185947,11912.359004787386,11918.372296105947,11928.105674426666,11937.839052747386
27,11888.152479530001,11874.79877684948,11866.548845350522,11853.195142670002,11839.841439989481,11901.506182210522,11909.75611370948,11923.10981639,11936.463519070521
28,11871.812971486666,11862.854988539186,11857.320737294147,11848.362754346666,11839.404771399186,11880.770954434147,11886.305205679186,11895.263188626666,11904.221171574147
