,symbol,instrument,year,quarter,eps,report,call
0,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2018,4,"{'estimate': '0.510000', 'actual': '0.480000'}","{'date': '2019-03-07', 'timing': 'am', 'verified': True}",
1,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2019,1,"{'estimate': '0.720000', 'actual': '0.720000'}","{'date': '2019-06-20', 'timing': 'am', 'verified': True}",
2,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2019,2,"{'estimate': '0.410000', 'actual': '0.440000'}","{'date': '2019-09-12', 'timing': 'am', 'verified': True}","{'datetime': '2019-09-12T14:00:00Z', 'broadcast_url': None, 'replay_url': 'http://mmm.wallstreethorizon.com/u.asp?u=285570'}"
3,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2019,3,"{'estimate': '0.480000', 'actual': '0.470000'}","{'date': '2019-12-05', 'timing': 'am', 'verified': True}","{'datetime': '2019-12-05T15:00:00Z', 'broadcast_url': None, 'replay_url': 'http://mmm.wallstreethorizon.com/u.asp?u=299293'}"
4,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2019,4,"{'estimate': '0.550000', 'actual': '0.570000'}","{'date': '2020-03-05', 'timing': 'am', 'verified': True}","{'datetime': '2020-03-05T15:00:00Z', 'broadcast_url': None, 'replay_url': 'http://mmm.wallstreethorizon.com/u.asp?u=309637'}"
5,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2020,1,"{'estimate': '1.090000', 'actual': '1.220000'}","{'date': '2020-06-18', 'timing': 'am', 'verified': True}","{'datetime': '2020-06-18T14:00:00Z', 'broadcast_url': None, 'replay_url': 'http://mmm.wallstreethorizon.com/u.asp?u=329782'}"
6,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2020,2,"{'estimate': None, 'actual': None}","{'date': '2020-09-11', 'timing': 'am', 'verified': True}","{'datetime': '2020-09-11T14:00:00Z', 'broadcast_url': 'http://mmm.wallstreethorizon.com/u.asp?u=344046', 'replay_url': None}"
7,KR,https://api.robinhood.com/instruments/d5bd04b5-a963-4e20-bce4-7a1d916d78fd/,2020,3,"{'estimate': None, 'actual': None}","{'date': '2020-12-03', 'timing': 'am', 'verified': False}",
